release_number,release_title,track_number,track_title,artist,lyrics_status
"57","Cuando No Estas Cerca","1","Cuando No Estas Cerca","Iyari Gomez","Letras sin formato Letras sincronizadas"
"58","Dariana","1","Dariana","Iyari Gomez","Letras sin formato Letras sincronizadas"
"59","David Newton","1","David Newton l","Iyari Gomez","Letras sin formato Letras sincronizadas"
"59","David Newton","2","David Newton ll","Iyari Gomez","Letras sin formato Letras sincronizadas"
"60","De cero a 100","1","De cero a 100","Iyari Gomez","Letras sin formato Letras sincronizadas"
"61","Delirio de Flores","1","Delirio de Flores","Iyari Gomez","Letras sin formato Letras sincronizadas"
"62","Dia de Muertos","1","Dia de Muertos","Iyari Gomez","Letras sin formato Letras sincronizadas"
"62","Dia de Muertos","2","Dime","Iyari Gomez","Letras sin formato Letras sincronizadas"
"63","Dylan Gael","1","Dylan Gael","Iyari Gomez","Letras sin formato Letras sincronizadas"
"63","Dylan Gael","2","Gael Dylan","Iyari Gomez","Letras sin formato Letras sincronizadas"
"64","Egypt I","1","Egypt I","Iyari Gomez","Letras sin formato Letras sincronizadas"
"65","El Honey","1","El Honey","Iyari Gomez","Letras sin formato Letras sincronizadas"
"66","Electric Daydreams","1","Electric Daydreams","Iyari Gomez","Letras sin formato Letras sincronizadas"
"67","Elisa","1","Elisa","Iyari Gomez","Letras sin formato Letras sincronizadas"
"68","Emotional","1","Emotional","Iyari Gomez","Letras sin formato Letras sincronizadas"
"69","En la penumbra","1","En la penumbra","Iyari Gomez","Letras sin formato Letras sincronizadas"
"70","Energia Infinita","1","Energia Infinita","Iyari Gomez","Letras sin formato Letras sincronizadas"
"71","Entiende","1","Entiende","Iyari Gomez","Letras sin formato Letras sincronizadas"
"72","Entre el humo y la llama","1","Entre el humo y la llama","Iyari Gomez","Letras sin formato Letras sincronizadas"
"73","Equipo Letal","1","Equipo Letal","Iyari Gomez","Letras sin formato Letras sincronizadas"
"74","Eres tu","1","Eres tu","Iyari Gomez","Letras sin formato Letras sincronizadas"
"75","Espacio","1","Espacio","Iyari Gomez","Letras sin formato Letras sincronizadas"
"76","Espejo Vibrante","1","Espejo Vibrante","Iyari Gomez","Letras sin formato Letras sincronizadas"
"77","Estas Cerca","1","Estas Cerca","Iyari Gomez","Letras sin formato Letras sincronizadas"
"78","EternalFrequency","1","EternalFrequency","Iyari Gomez","Letras sin formato Letras sincronizadas"
"79","Explosive","1","Explosive","Iyari Gomez","Letras sin formato Letras sincronizadas"
"80","Eyes are diamonds","1","Eyes are diamonds","Iyari Gomez","Letras sin formato Letras sincronizadas"
"81","Fade","1","Fade","Iyari Gomez","Letras sin formato Letras sincronizadas"
"82","Fade Away","1","Fade Away","Iyari Gomez","Letras sin formato Letras sincronizadas"
"83","FancyBoy","1","Fancy","Iyari Gomez","Letras sin formato Letras sincronizadas"
"83","FancyBoy","2","FligthMode","Iyari Gomez","Letras sin formato Letras sincronizadas"
"84","Fani","1","Fani","Iyari Gomez","Letras sin formato Letras sincronizadas"
"85","Feel The Vibration","1","Feel The Vibration","Iyari Gomez","Letras sin formato Letras sincronizadas"
"86","Fire","1","Fire","Iyari Gomez","Letras sin formato Letras sincronizadas"
"87","Fotos Antiguas","1","Fotos Antiguas","Iyari Gomez","Letras sin formato Letras sincronizadas"
"88","Found this way","1","Found this way","Iyari Gomez","Letras sin formato Letras sincronizadas"
"89","Gravedad","1","Gravedad","Iyari Gomez","Letras sin formato Letras sincronizadas"
"90","Habitacion 503","1","Habitacion 503","Iyari Gomez","Letras sin formato Letras sincronizadas"
"91","High as the Moon","1","High as the Moon","Iyari Gomez","Letras sin formato Letras sincronizadas"
"92","I Never Surrender, I Never Bow","1","I Never Surrender, I Never Bow","Iyari Gomez","Letras sin formato Letras sincronizadas"
"93","I promise","1","I promise","Iyari Gomez","Letras sin formato Letras sincronizadas"
"94","Inside your Soul","1","Inside your Soul","Iyari Gomez","Letras sin formato Letras sincronizadas"
"95","Ivy","1","Ivy","Iyari Gomez","Letras sin formato Letras sincronizadas"
"96","Iyari","1","Iyari","Iyari Gomez","Letras sin formato Letras sincronizadas"
"97","Iyari Love","1","Iyari Love","Iyari Gomez","Letras sin formato Letras sincronizadas"
"98","Jacome","1","Jacome","Iyari Gomez","Letras sin formato Letras sincronizadas"
"99","Jaqui Sanchez","1","Jaqui Sanchez","Iyari Gomez","Letras sin formato Letras sincronizadas"
"100","JasonB","1","Conejo JasonB","Iyari Gomez","Letras sin formato Letras sincronizadas"
"100","JasonB","2","Conejo JasonBt","Iyari Gomez","Letras sin formato Letras sincronizadas"
"100","JasonB","3","Conejo Vibes Jason","Iyari Gomez","Letras sin formato Letras sincronizadas"
"100","JasonB","4","Conejo Vibes JasonB","Iyari Gomez","Letras sin formato Letras sincronizadas"
"101","JM.33 La excepción.","1","JM.33 La excepción.","Iyari Gomez","Letras sin formato Letras sincronizadas"
"102","Jose Jimenez","1","Jose Jimenez","Iyari Gomez","Letras sin formato Letras sincronizadas"
"103","June Pyramid","1","June Pyramid","Iyari Gomez","Letras sin formato Letras sincronizadas"
"104","Jungle","1","Jungle","Iyari Gomez","Letras sin formato Letras sincronizadas"
"105","Kiss Me","1","Kiss Me","Iyari Gomez","Letras sin formato Letras sincronizadas"
"106","La Firma","1","La Firma","Iyari Gomez","Letras sin formato Letras sincronizadas"
"107","La muerte","1","La muerte","Iyari Gomez","Letras sin formato Letras sincronizadas"
"108","La Promesa de la Santa","1","La Promesa de la Santa","Iyari Gomez","Letras sin formato Letras sincronizadas"
"109","La Vida","1","La Vida","Iyari Gomez","Letras sin formato Letras sincronizadas"
"110","La Vida es Mejor","1","La Vida es Mejor","Iyari Gomez","Letras sin formato Letras sincronizadas"
"111","Laura Elena","1","Laura Elena","Iyari Gomez","Letras sin formato Letras sincronizadas"
"112","Les Rodriguez","1","Les Rodriguez","Iyari Gomez","Letras sin formato Letras sincronizadas"
"113","LetyMedina","1","LetyMedina","Iyari Gomez","Letras sin formato Letras sincronizadas"
"114","Life","1","Life","Iyari Gomez","Letras sin formato Letras sincronizadas"
"115","Life Life Life","1","Life Life Life","Iyari Gomez","Letras sin formato Letras sincronizadas"
"116","Light Upon","1","Light Upon","Iyari Gomez","Letras sin formato Letras sincronizadas"
"117","Lights","1","Lights","Iyari Gomez","Letras sin formato Letras sincronizadas"
"118","Like a lion","1","Like a lion","Iyari Gomez","Letras sin formato Letras sincronizadas"
"119","Llaves","1","Llaves","Iyari Gomez","Letras sin formato Letras sincronizadas"
"120","Lost","1","Lost","Iyari Gomez","Letras sin formato Letras sincronizadas"
"121","Lost Dream","1","Lost Dream","Iyari Gomez","Letras sin formato Letras sincronizadas"
"122","Love You","1","Love You","Iyari Gomez","Letras sin formato Letras sincronizadas"
"122","Love You","2","I Always","Iyari Gomez","Letras sin formato Letras sincronizadas"
"123","Lucy","1","Lucy","Iyari Gomez","Instrumental"
"124","Luis Dueñas","1","Luis Dueñas","Iyari Gomez","Letras sin formato Letras sincronizadas"
"125","Lux Arcan","1","Lux Arcan","Iyari Gomez","Letras sin formato Letras sincronizadas"
"126","Luz","1","Luz","Iyari Gomez","Letras sin formato Letras sincronizadas"
"127","Madman in a Pop-Up Camper","1","Madman in a Pop-Up Camper","Iyari Gomez","Letras sin formato Letras sincronizadas"
"128","MambaMode","1","MambaMode","Iyari Gomez","Letras sin formato Letras sincronizadas"
"129","Mariana","1","Centro de gravedad","Iyari Gomez","Letras sin formato Letras sincronizadas"
"129","Mariana","2","Gravedad","Iyari Gomez","Letras sin formato Letras sincronizadas"
"129","Mariana","3","Centro","Iyari Gomez","Letras sin formato Letras sincronizadas"
"129","Mariana","4","Mariana","Iyari Gomez","Letras sin formato Letras sincronizadas"
"130","Martinez","1","Martinez","Iyari Gomez","Letras sin formato Letras sincronizadas"
"131","Mary Jane my love","1","Mary Jane my love","Iyari Gomez","Letras sin formato Letras sincronizadas"
"132","Me encanta","1","Me encanta","Iyari Gomez","Letras sin formato Letras sincronizadas"
"133","Me loquie","1","Me loquie","Iyari Gomez","Letras sin formato Letras sincronizadas"
"134","Midnight","1","Midnight","Iyari Gomez","Letras sin formato Letras sincronizadas"
"135","Midnight Glow LIVE","1","Midnight Glow LIVE","Iyari Gomez","Letras sin formato Letras sincronizadas"
"136","Midnight Motion","1","Midnight","Iyari Gomez","Letras sin formato Letras sincronizadas"
"136","Midnight Motion","2","Motion","Iyari Gomez","Letras sin formato Letras sincronizadas"
"137","Midnigth Glow","1","Midnigth Glow","Iyari Gomez","Letras sin formato Letras sincronizadas"
"138","Mira arriba","1","Mira arriba","Iyari Gomez","Letras sin formato Letras sincronizadas"
"139","MissDiablo","1","MissDiablo","Iyari Gomez","Letras sin formato Letras sincronizadas"
"140","MJ","1","MJ","Iyari Gomez","Letras sin formato Letras sincronizadas"
"141","Moonlight","1","Moonlight","Iyari Gomez","Letras sin formato Letras sincronizadas"
"142","Morena","1","Morena","Iyari Gomez","Letras sin formato Letras sincronizadas"
"143","Morrigan","1","Morrigan","Iyari Gomez","Instrumental"
"144","MotorChampion","1","MotorChampion","Iyari Gomez","Letras sin formato Letras sincronizadas"
"145","Mundo Entero","1","Mundo Entero","Iyari Gomez","Letras sin formato Letras sincronizadas"
"146","My own","1","So Stoned","Iyari Gomez","Letras sin formato Letras sincronizadas"
"146","My own","2","Melting","Iyari Gomez","Letras sin formato Letras sincronizadas"
"147","My Own Deamon","1","My Own Deamon","Iyari Gomez","Letras sin formato Letras sincronizadas"
"148","Neon Butterfflys","1","Shadows","Iyari Gomez","Letras sin formato Letras sincronizadas"
"148","Neon Butterfflys","2","Butterfflys","Iyari Gomez","Letras sin formato Letras sincronizadas"
"149","NexusPrime","1","NexusPrime","Iyari Gomez","Letras sin formato Letras sincronizadas"
"150","Nilo","1","Nilo","Iyari Gomez","Letras sin formato Letras sincronizadas"
"151","No Coment","1","No Coment","Iyari Gomez","Letras sin formato Letras sincronizadas"
"152","Noches en Pijama","1","Noches en Pijama","Iyari Gomez","Letras sin formato Letras sincronizadas"
"153","Noplan","1","Noplan","Iyari Gomez","Letras sin formato Letras sincronizadas"
"154","Ojos de Fuego","1","Ojos de Fuego","Iyari Gomez","Letras sin formato Letras sincronizadas"
"155","One Love Road","1","One Love Road","Iyari Gomez","Letras sin formato Letras sincronizadas"
"156","Only Know How to Love","1","Only Know How to Love","Iyari Gomez","Letras sin formato Letras sincronizadas"
"157","Pass the Ganja","1","Pass the Ganja","Iyari Gomez","Letras sin formato Letras sincronizadas"
"158","PatMarquez","1","Marquez","Iyari Gomez","Letras sin formato Letras sincronizadas"
"158","PatMarquez","2","Pat","Iyari Gomez","Letras sin formato Letras sincronizadas"
"159","Perdon Diosito","1","Perdon","Iyari Gomez","Letras sin formato Letras sincronizadas"
"159","Perdon Diosito","2","Diosito","Iyari Gomez","Letras sin formato Letras sincronizadas"
"160","Perla","1","Perla","Iyari Gomez","Letras sin formato Letras sincronizadas"
"161","Personalidad","1","Personalidad","Iyari Gomez","Letras sin formato Letras sincronizadas"
"162","Peso del mundo","1","Ultima","Iyari Gomez","Letras sin formato Letras sincronizadas"
"162","Peso del mundo","2","Pagina","Iyari Gomez","Letras sin formato Letras sincronizadas"
"163","Plata Fina","1","Plata Fina","Iyari Gomez","Letras sin formato Letras sincronizadas"
"164","Poligonos de luz","1","Poligonos de luz","Iyari Gomez","Letras sin formato Letras sincronizadas"
"165","Poligonos de luz","1","Poligonos de luz","Iyari Gomez","Letras sin formato Letras sincronizadas"
"166","PretzelGirl","1","PretzelGirl","Iyari Gomez","Letras sin formato Letras sincronizadas"
"167","Prisi Perez","1","Prisi Perez","Iyari Gomez","Letras sin formato Letras sincronizadas"
"168","PsyWall","1","PsyWall","Iyari Gomez","Letras sin formato Letras sincronizadas"
"169","Purple Ocean","1","Purple Ocean","Iyari Gomez","Instrumental"
"170","Quantum Luxurious","1","Quantum Luxurious","Iyari Gomez","Letras sin formato Letras sincronizadas"
"171","QuantumForce","1","Vianey","Iyari Gomez","Letras sin formato Letras sincronizadas"
"171","QuantumForce","2","Adriana","Iyari Gomez","Letras sin formato Letras sincronizadas"
